0;         ;0.5
1;        X;0.5
2;        O;0.5
3;       X ;0.5
4;       XX;0.5
5;       XO;0.5
6;       O ;0.5
7;       OX;0.5
8;       OO;0.5
9;      X  ;0.5
10;      X X;0.5
11;      X O;0.5
12;      XX ;0.5
13;      XXX;1.0
14;      XXO;0.5
15;      XO ;0.5
16;      XOX;0.5
17;      XOO;0.5
18;      O  ;0.5
19;      O X;0.5
20;      O O;0.5
21;      OX ;0.5
22;      OXX;0.5
23;      OXO;0.5
24;      OO ;0.5
25;      OOX;0.5
26;      OOO;1.0
27;     X   ;0.5
28;     X  X;0.5
29;     X  O;0.5
30;     X X ;0.5
31;     X XX;0.5
32;     X XO;0.5
33;     X O ;0.5
34;     X OX;0.5
35;     X OO;0.5
36;     XX  ;0.5
37;     XX X;0.5
38;     XX O;0.5
39;     XXX ;0.5
40;     XXXX;1.0
41;     XXXO;0.5
42;     XXO ;0.5
43;     XXOX;0.5
44;     XXOO;0.5
45;     XO  ;0.5
46;     XO X;0.5
47;     XO O;0.5
48;     XOX ;0.5
49;     XOXX;0.5
50;     XOXO;0.5
51;     XOO ;0.5
52;     XOOX;0.5
53;     XOOO;1.0
54;     O   ;0.5
55;     O  X;0.5
56;     O  O;0.5
57;     O X ;0.5
58;     O XX;0.5
59;     O XO;0.5
60;     O O ;0.5
61;     O OX;0.5
62;     O OO;0.5
63;     OX  ;0.5
64;     OX X;0.5
65;     OX O;0.5
66;     OXX ;0.5
67;     OXXX;1.0
68;     OXXO;0.5
69;     OXO ;0.5
70;     OXOX;0.5
71;     OXOO;0.5
72;     OO  ;0.5
73;     OO X;0.5
74;     OO O;0.5
75;     OOX ;0.5
76;     OOXX;0.5
77;     OOXO;0.5
78;     OOO ;0.5
79;     OOOX;0.5
80;     OOOO;1.0
81;    X    ;0.5
82;    X   X;0.5
83;    X   O;0.5
84;    X  X ;0.5
85;    X  XX;0.5
86;    X  XO;0.5
87;    X  O ;0.5
88;    X  OX;0.5
89;    X  OO;0.5
90;    X X  ;0.5
91;    X X X;0.5
92;    X X O;0.5
93;    X XX ;0.5
94;    X XXX;1.0
95;    X XXO;0.5
96;    X XO ;0.5
97;    X XOX;0.5
98;    X XOO;0.5
99;    X O  ;0.5
100;    X O X;0.5
101;    X O O;0.5
102;    X OX ;0.5
103;    X OXX;0.5
104;    X OXO;0.5
105;    X OO ;0.5
106;    X OOX;0.5
107;    X OOO;1.0
108;    XX   ;0.5
109;    XX  X;0.5
110;    XX  O;0.5
111;    XX X ;0.5
112;    XX XX;0.5
113;    XX XO;0.5
114;    XX O ;0.5
115;    XX OX;0.5
116;    XX OO;0.5
117;    XXX  ;0.5
118;    XXX X;0.5
119;    XXX O;0.5
120;    XXXX ;0.5
121;    XXXXX;1.0
122;    XXXXO;0.5
123;    XXXO ;0.5
124;    XXXOX;0.5
125;    XXXOO;0.5
126;    XXO  ;0.5
127;    XXO X;0.5
128;    XXO O;0.5
129;    XXOX ;0.5
130;    XXOXX;0.5
